# Protein table
# LAMMPS type | frag name | uniprot ID | radius | mass
#-----------------------------------------------------
      1       ,     DNA   ,   0        ,   1    ,  2  
      2       ,     H3    ,   P68431   ,   1    ,  2      
      3       ,     H4    ,   P62805   ,   1    ,  2   
      4       ,     H2A   ,   P04908   ,   1    ,  2   
      5       ,     H2B   ,   O60814   ,   1    ,  2   

# Site table
# prot ID | site ID | coords
#-----------------------------------
     1    ,   1_1   , 8.63, 8.63, 8.63 
     1    ,   1_2   , 4.4 , 5 , 6   
     2    ,   2_1   , 1 , 2.1 , 3.9 
     3    ,   3_1   , 1 , 2.1 , 3.9 
     3    ,   3_2   , 4.4 , 5 , 6  
     4    ,   4     , 1 , 2.1 , 3.9 
      

# Interacting sites table
# int ID  | lock-and-key prms 
#-----------------------------
  1_1-2_1,   14.96 , 0.1 , 1.9 , 5.0
  1_2-3_1 ,   1 , 1 , 2 , 3
  1_2-3_2 ,   1 , 1 , 2 , 3
  3_1-5_2 ,   1 , 1 , 2 , 3
  3_1-6_2 ,   1 , 1 , 2 , 3
  3_1-7_2 ,   1 , 1 , 2 , 3
  4-5_2   ,   1 , 1 , 2 , 3

# Interacting particles table
# int PID |      vdW     |   Pauli      |  electrostatic 
#---------------------------------------- --------------
   1-1   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9  
   1-2   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9
   1-3   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9
   1-4   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9
   2-2   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9
   2-3   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9
   2-4   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9
   3-3   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9
   3-4   ,  1, 1, 2, 3  ,  1, 4, 5, 6  ,  1, 7, 8, 9 
